track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,383550148,82,Major,63,85,62,6,0,35,4
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,530511203,95,Major,77,40,47,2,0,9,3
Every Angel is Terrifying,The Weeknd,1,2022,1,7,37307967,118,Major,44,52,94,11,0,4,29
Tacones Rojos,Sebastian Yatra,1,2021,10,22,510876816,123,Minor,75,93,86,8,0,14,3
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,3,19,1445941661,90,Major,63,49,68,38,0,42,18
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,1763363713,110,Minor,73,14,57,40,0,11,5
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,374191487,96,Minor,66,76,82,47,0,10,32
LÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿,Stromae,1,2022,1,9,108809090,88,Minor,56,58,55,35,0,23,11
NostÃ¯Â¿Â½Ã¯Â¿Â½l,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,8,436695353,98,Minor,73,60,85,17,0,24,5
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2021,9,24,421040617,110,Minor,72,67,68,0,0,14,4
Life Goes On,Oliver Tree,1,2020,7,17,501541661,80,Major,70,57,49,19,0,12,8
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,354065229,110,Minor,86,31,53,43,0,11,6
Butter,BTS,1,2021,5,21,1143647827,110,Major,79,70,36,0,0,6,11
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7,311395144,78,Minor,77,49,42,1,1,13,19
You Right,"Doja Cat, The Weeknd",2,2021,6,24,672656250,129,Major,83,44,62,2,0,8,6
deja vu,Olivia Rodrigo,1,2021,4,1,1256880657,181,Major,44,22,60,61,0,42,9
Dynamite,BTS,1,2020,8,21,1692897992,114,Minor,75,74,77,1,0,9,10
TO THE MOON,Jnr Choi,1,2021,11,5,245095641,144,Major,74,39,65,5,1,11,35
Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,11,686734357,101,Major,66,18,68,9,0,12,4
Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,261414174,84,Major,67,78,63,29,0,12,5
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,610045621,154,Major,66,63,69,21,0,11,7
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,1115880852,148,Major,59,72,62,18,0,9,3
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,594482982,146,Minor,85,22,37,13,0,7,30
Don't Be Shy,"TiÃ¯Â¿Â½Ã¯Â¿Â½sto, Kar",2,2021,8,1,566954746,120,Minor,77,51,79,20,0,26,6
